id,Geographic Area Name,Labor Force Participation Rate
0500000US36001,"Albany County, New York",64.7
0500000US36029,"Erie County, New York",62.0
0500000US37045,"Cleveland County, North Carolina",53.9
0500000US39109,"Miami County, Ohio",63.8
0500000US39145,"Scioto County, Ohio",48.6
0500000US41005,"Clackamas County, Oregon",64.5
0500000US45077,"Pickens County, South Carolina",58.1
0500000US47163,"Sullivan County, Tennessee",52.2
0500000US53027,"Grays Harbor County, Washington",45.0
0500000US72139,"Trujillo Alto Municipio, Puerto Rico",N
0500000US05031,"Craighead County, Arkansas",62.8
0500000US06071,"San Bernardino County, California",61.7
0500000US12099,"Palm Beach County, Florida",59.3
0500000US12107,"Putnam County, Florida",46.7
0500000US13117,"Forsyth County, Georgia",69.2
0500000US13121,"Fulton County, Georgia",67.5
0500000US17097,"Lake County, Illinois",68.1
0500000US20173,"Sedgwick County, Kansas",66.5
0500000US26005,"Allegan County, Michigan",62.4
0500000US26081,"Kent County, Michigan",69.8
0500000US29037,"Cass County, Missouri",66.2
0500000US29189,"St. Louis County, Missouri",64.5
0500000US34005,"Burlington County, New Jersey",65.9
0500000US34007,"Camden County, New Jersey",65.1
0500000US35035,"Otero County, New Mexico",50.5
0500000US37071,"Gaston County, North Carolina",61.7
0500000US37171,"Surry County, North Carolina",55.2
0500000US42091,"Montgomery County, Pennsylvania",68.3
0500000US46099,"Minnehaha County, South Dakota",75.3
0500000US47149,"Rutherford County, Tennessee",72.2
0500000US47187,"Williamson County, Tennessee",69.5
0500000US48183,"Gregg County, Texas",61.9
0500000US48347,"Nacogdoches County, Texas",54.5
0500000US48439,"Tarrant County, Texas",68.6
0500000US51069,"Frederick County, Virginia",65.6
0500000US55089,"Ozaukee County, Wisconsin",68.7
0500000US55133,"Waukesha County, Wisconsin",67.0
0500000US06065,"Riverside County, California",60.2
0500000US06085,"Santa Clara County, California",67.7
0500000US06099,"Stanislaus County, California",60.1
0500000US08101,"Pueblo County, Colorado",56.1
0500000US12053,"Hernando County, Florida",46.8
0500000US12101,"Pasco County, Florida",53.6
0500000US12115,"Sarasota County, Florida",49.3
0500000US12119,"Sumter County, Florida",25.1
0500000US18011,"Boone County, Indiana",N
0500000US26091,"Lenawee County, Michigan",58.2
0500000US29183,"St. Charles County, Missouri",68.6
0500000US29187,"St. Francois County, Missouri",51.7
0500000US36059,"Nassau County, New York",65.1
0500000US36071,"Orange County, New York",64.1
0500000US37133,"Onslow County, North Carolina",72.0
0500000US39113,"Montgomery County, Ohio",62.8
0500000US45045,"Greenville County, South Carolina",65.0
0500000US47059,"Greene County, Tennessee",53.8
0500000US48041,"Brazos County, Texas",58.4
0500000US48209,"Hays County, Texas",68.1
0500000US51059,"Fairfax County, Virginia",71.7
0500000US12081,"Manatee County, Florida",54.6
0500000US13057,"Cherokee County, Georgia",68.2
0500000US13215,"Muscogee County, Georgia",59.3
0500000US15001,"Hawaii County, Hawaii",59.0
0500000US18127,"Porter County, Indiana",62.9
0500000US22057,"Lafourche Parish, Louisiana",59.5
0500000US24510,"Baltimore city, Maryland",62.5
0500000US36083,"Rensselaer County, New York",63.0
0500000US37057,"Davidson County, North Carolina",59.1
0500000US39089,"Licking County, Ohio",62.9
0500000US41029,"Jackson County, Oregon",57.8
0500000US42063,"Indiana County, Pennsylvania",54.4
0500000US45007,"Anderson County, South Carolina",61.1
0500000US48135,"Ector County, Texas",67.5
0500000US48423,"Smith County, Texas",61.7
0500000US48469,"Victoria County, Texas",60.2
0500000US55127,"Walworth County, Wisconsin",67.1
0500000US01127,"Walker County, Alabama",53.9
0500000US05007,"Benton County, Arkansas",67.3
0500000US06101,"Sutter County, California",59.8
0500000US08001,"Adams County, Colorado",72.4
0500000US12087,"Monroe County, Florida",63.2
0500000US12095,"Orange County, Florida",66.3
0500000US13077,"Coweta County, Georgia",63.3
0500000US17099,"LaSalle County, Illinois",62.2
0500000US19113,"Linn County, Iowa",69.3
0500000US27013,"Blue Earth County, Minnesota",71.4
0500000US28047,"Harrison County, Mississippi",62.2
0500000US28049,"Hinds County, Mississippi",61.6
0500000US29099,"Jefferson County, Missouri",66.6
0500000US33009,"Grafton County, New Hampshire",63.5
0500000US36013,"Chautauqua County, New York",57.6
0500000US37067,"Forsyth County, North Carolina",61.0
0500000US39025,"Clermont County, Ohio",65.3
0500000US39041,"Delaware County, Ohio",69.2
0500000US39049,"Franklin County, Ohio",69.3
0500000US39103,"Medina County, Ohio",67.1
0500000US47011,"Bradley County, Tennessee",61.9
0500000US48021,"Bastrop County, Texas",60.3
0500000US48355,"Nueces County, Texas",62.2
0500000US53005,"Benton County, Washington",61.3
0500000US53073,"Whatcom County, Washington",60.5
0500000US04001,"Apache County, Arizona",36.0
0500000US04015,"Mohave County, Arizona",45.3
0500000US04019,"Pima County, Arizona",57.6
0500000US05143,"Washington County, Arkansas",64.2
0500000US06095,"Solano County, California",64.2
0500000US11001,"District of Columbia, District of Columbia",70.7
0500000US12109,"St. Johns County, Florida",59.4
0500000US16083,"Twin Falls County, Idaho",62.3
0500000US17115,"Macon County, Illinois",61.4
0500000US18167,"Vigo County, Indiana",61.2
0500000US21037,"Campbell County, Kentucky",65.9
0500000US22019,"Calcasieu Parish, Louisiana",59.2
0500000US22097,"St. Landry Parish, Louisiana",51.8
0500000US25023,"Plymouth County, Massachusetts",66.8
0500000US29043,"Christian County, Missouri",62.5
0500000US30049,"Lewis and Clark County, Montana",66.8
0500000US35025,"Lea County, New Mexico",60.3
0500000US39157,"Tuscarawas County, Ohio",63.4
0500000US40125,"Pottawatomie County, Oklahoma",54.4
0500000US45091,"York County, South Carolina",66.5
0500000US48441,"Taylor County, Texas",64.2
0500000US48471,"Walker County, Texas",N
0500000US50007,"Chittenden County, Vermont",69.9
0500000US51740,"Portsmouth city, Virginia",62.4
0500000US54107,"Wood County, West Virginia",55.3
0500000US56025,"Natrona County, Wyoming",68.4
0500000US01055,"Etowah County, Alabama",56.4
0500000US01081,"Lee County, Alabama",59.5
0500000US02020,"Anchorage Municipality, Alaska",70.9
0500000US08031,"Denver County, Colorado",73.7
0500000US12021,"Collier County, Florida",52.3
0500000US12086,"Miami-Dade County, Florida",63.6
0500000US18097,"Marion County, Indiana",66.9
0500000US20045,"Douglas County, Kansas",71.0
0500000US22063,"Livingston Parish, Louisiana",61.0
0500000US26037,"Clinton County, Michigan",62.6
0500000US28059,"Jackson County, Mississippi",58.9
0500000US36019,"Clinton County, New York",53.3
0500000US36061,"New York County, New York",66.9
0500000US36091,"Saratoga County, New York",67.9
0500000US37001,"Alamance County, North Carolina",61.3
0500000US37101,"Johnston County, North Carolina",65.8
0500000US37135,"Orange County, North Carolina",62.8
0500000US37179,"Union County, North Carolina",67.4
0500000US38035,"Grand Forks County, North Dakota",71.9
0500000US39017,"Butler County, Ohio",63.8
0500000US41017,"Deschutes County, Oregon",62.8
0500000US42033,"Clearfield County, Pennsylvania",54.3
0500000US45057,"Lancaster County, South Carolina",58.0
0500000US47009,"Blount County, Tennessee",59.5
0500000US48121,"Denton County, Texas",72.7
0500000US48375,"Potter County, Texas",60.4
0500000US48453,"Travis County, Texas",72.8
0500000US49011,"Davis County, Utah",68.6
0500000US51013,"Arlington County, Virginia",80.2
0500000US01101,"Montgomery County, Alabama",58.9
0500000US06073,"San Diego County, California",65.9
0500000US06077,"San Joaquin County, California",60.9
0500000US10001,"Kent County, Delaware",60.9
0500000US12111,"St. Lucie County, Florida",53.8
0500000US13185,"Lowndes County, Georgia",56.3
0500000US17001,"Adams County, Illinois",66.9
0500000US17037,"DeKalb County, Illinois",66.7
0500000US17199,"Williamson County, Illinois",58.9
0500000US18063,"Hendricks County, Indiana",69.6
0500000US19155,"Pottawattamie County, Iowa",64.5
0500000US24021,"Frederick County, Maryland",69.1
0500000US24033,"Prince George's County, Maryland",71.7
0500000US26045,"Eaton County, Michigan",62.2
0500000US26075,"Jackson County, Michigan",55.8
0500000US26121,"Muskegon County, Michigan",57.7
0500000US26139,"Ottawa County, Michigan",67.9
0500000US27003,"Anoka County, Minnesota",71.8
0500000US31055,"Douglas County, Nebraska",70.8
0500000US31109,"Lancaster County, Nebraska",72.1
0500000US33005,"Cheshire County, New Hampshire",64.9
0500000US34011,"Cumberland County, New Jersey",54.6
0500000US35049,"Santa Fe County, New Mexico",57.9
0500000US37051,"Cumberland County, North Carolina",63.6
0500000US42075,"Lebanon County, Pennsylvania",64.5
0500000US47037,"Davidson County, Tennessee",71.9
0500000US48113,"Dallas County, Texas",68.9
0500000US48167,"Galveston County, Texas",65.3
0500000US51153,"Prince William County, Virginia",73.2
0500000US51199,"York County, Virginia",66.3
0500000US53011,"Clark County, Washington",65.0
0500000US55117,"Sheboygan County, Wisconsin",65.6
0500000US56021,"Laramie County, Wyoming",63.8
0500000US06053,"Monterey County, California",61.3
0500000US08035,"Douglas County, Colorado",73.1
0500000US12031,"Duval County, Florida",66.0
