id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US47093,"Knox County, Tennessee",55258,15914,97541,55113,192795,378125,367748,343736,100827,89141,73277,29803
0500000US51061,"Fauquier County, Virginia",9280,3168,16608,4894,25504,56182,54067,51562,16654,14766,11933,5076
0500000US72127,"San Juan Municipio, Puerto Rico",31218,11464,55776,30406,119092,271287,265191,252714,95440,85407,73383,36566
0500000US01069,"Houston County, Alabama",13340,4369,24121,8412,39177,83421,80601,76990,25810,22958,18790,7763
0500000US06083,"Santa Barbara County, California",56029,15838,99331,70029,196069,358433,347196,313544,93302,82955,68402,30819
0500000US10003,"New Castle County, Delaware",67122,20954,120253,52055,223318,453995,439082,413065,123061,108428,87093,36032
0500000US12113,"Santa Rosa County, Florida",22378,6898,39294,14228,69251,144746,140055,135175,42617,35943,28416,11047
0500000US13295,"Walker County, Georgia",8328,2670,14990,6116,25047,56555,54420,51812,17857,15631,13093,5768
0500000US20091,"Johnson County, Kansas",82394,25459,145641,47374,238259,469526,451914,434695,123222,108288,86524,33888
0500000US25017,"Middlesex County, Massachusetts",176754,56236,318633,161070,680578,1335097,1296081,1230238,344801,303846,246060,106931
0500000US25025,"Suffolk County, Massachusetts",70309,21574,133658,110550,425297,688543,673594,623073,136676,118570,96952,40443
0500000US26055,"Grand Traverse County, Michigan",11001,3298,18916,6523,32426,75878,73657,70560,25248,22595,18378,7210
0500000US27137,"St. Louis County, Minnesota",21481,6511,38011,25363,77113,165951,161743,149316,53978,47481,38593,16255
0500000US31153,"Sarpy County, Nebraska",28658,8323,50553,16183,77119,140146,133906,127053,31617,27032,22169,8771
0500000US33011,"Hillsborough County, New Hampshire",47813,15780,84981,36361,159203,340143,330266,316242,94446,80841,64850,26622
0500000US34017,"Hudson County, New Jersey",71736,19560,138221,53803,323112,550007,537840,517593,116561,101555,79918,34311
0500000US37025,"Cabarrus County, North Carolina",30603,10029,54217,16601,83416,164370,157125,149782,38515,34612,28208,11323
0500000US38015,"Burleigh County, North Dakota",12132,3174,21684,9497,38576,75865,73589,69261,20530,18123,15157,6717
0500000US39085,"Lake County, Ohio",26281,9015,46210,17182,79990,190883,184304,177824,64958,56833,46347,19917
0500000US39153,"Summit County, Ohio",63002,20397,113126,46387,202507,443156,428792,409447,137357,121669,97467,40934
0500000US40037,"Creek County, Oklahoma",9589,2928,17062,5515,25902,56524,54542,51665,16957,15310,12424,5129
0500000US41039,"Lane County, Oregon",40002,11587,69901,47610,155204,317579,309710,289321,100037,88863,73700,28669
0500000US42001,"Adams County, Pennsylvania",11934,3689,21167,9245,34828,83856,81644,76479,28105,25272,20634,8794
0500000US42041,"Cumberland County, Pennsylvania",28638,8617,50809,25790,95805,206170,200614,189325,62998,56923,46768,20262
0500000US47065,"Hamilton County, Tennessee",42404,12629,75764,32471,141902,297020,288522,274004,88656,79379,63597,26529
0500000US47179,"Washington County, Tennessee",14074,4032,24055,15777,50995,107473,104552,98334,31895,28575,23505,9895
0500000US49005,"Cache County, Utah",21485,6163,38648,23524,62460,92518,88420,80385,16445,14376,11531,4838
0500000US53015,"Cowlitz County, Washington",13816,4550,25393,8150,38606,86221,83594,80292,29096,26140,20856,8207
0500000US54081,"Raleigh County, West Virginia",9239,2646,15716,5826,27073,60664,58538,55519,21307,19050,15492,6115
0500000US72013,"Arecibo Municipio, Puerto Rico",8463,3097,14800,7718,30558,69525,67314,64642,23451,20940,17976,8325
0500000US01103,"Morgan County, Alabama",15448,4709,27098,10615,43871,95485,91991,87590,28985,25752,20464,8414
0500000US06031,"Kings County, California",23491,6292,40773,16290,69473,114798,110593,103531,20951,19049,15413,6662
0500000US06089,"Shasta County, California",22189,6462,38584,14455,63525,145037,141456,135347,50818,45457,37027,15546
0500000US12073,"Leon County, Florida",30279,8980,54454,62709,146771,244172,238048,206904,55739,48577,38914,14696
0500000US12103,"Pinellas County, Florida",87884,27396,157685,63507,316374,836293,817595,792929,321328,287552,241848,111761
0500000US17093,"Kendall County, Illinois",22673,4865,36412,11850,53603,93743,91503,84264,19686,17027,13493,5636
0500000US26017,"Bay County, Michigan",11642,4306,21083,8265,36588,86290,82840,78324,29916,25790,20857,9036
0500000US26159,"Van Buren County, Michigan",9601,3305,17288,6178,25916,60355,58160,55101,19265,17711,14089,5592
