id,Geographic Area Name,total_households,smartphone_households,smartphone_ownership
0500000US48479,"Webb County, Texas",75300,60611,0.8049269588313414
0500000US51095,"James City County, Virginia",29849,26173,0.876846795537539
0500000US51161,"Roanoke County, Virginia",38061,31184,0.8193163605790704
0500000US55059,"Kenosha County, Wisconsin",62950,53952,0.8570611596505163
0500000US06033,"Lake County, California",26774,21540,0.8045118398446254
0500000US06075,"San Francisco County, California",362827,324767,0.8951015222130657
0500000US08123,"Weld County, Colorado",107929,95876,0.8883247319997406
0500000US12005,"Bay County, Florida",73856,61328,0.8303726169844021
0500000US13015,"Bartow County, Georgia",35506,31042,0.8742747704613305
0500000US20015,"Butler County, Kansas",24692,20390,0.825773529888223
0500000US20103,"Leavenworth County, Kansas",26654,22651,0.8498161626772717
0500000US20161,"Riley County, Kansas",26617,24287,0.9124619604012473
0500000US25015,"Hampshire County, Massachusetts",58902,47893,0.8130963294964517
0500000US29031,"Cape Girardeau County, Missouri",28675,24291,0.8471142109851787
